Date,Time,Open,High,Low,Close,Vol,OI
01/02/2004,16:00,1035.25000,1042.25000,1027.75000,1033.25000,452889,376063
01/05/2004,16:00,1033.00000,1045.75000,1033.00000,1044.25000,609539,414061
01/06/2004,16:00,1044.00000,1047.75000,1039.75000,1046.25000,520267,414596
01/07/2004,16:00,1046.00000,1051.00000,1039.00000,1049.75000,623738,429452
01/08/2004,16:00,1049.75000,1054.75000,1048.00000,1053.75000,655254,444261
01/09/2004,16:00,1053.75000,1055.25000,1043.25000,1044.25000,870229,451970
01/12/2004,16:00,1043.75000,1052.75000,1042.50000,1052.50000,636419,477893
01/13/2004,16:00,1052.50000,1053.50000,1038.00000,1045.50000,739977,493698
01/14/2004,16:00,1045.50000,1056.75000,1043.50000,1055.50000,530133,511077
01/15/2004,16:00,1054.00000,1060.75000,1047.25000,1057.50000,876169,512165
01/16/2004,16:00,1057.25000,1063.25000,1056.25000,1062.25000,574795,516623
01/20/2004,16:00,1062.00000,1066.50000,1058.25000,1061.75000,563145,533002
01/21/2004,16:00,1061.50000,1073.00000,1057.00000,1070.25000,683620,562647
01/22/2004,16:00,1070.25000,1073.50000,1065.75000,1068.25000,556580,566023
01/23/2004,16:00,1066.00000,1073.50000,1059.50000,1064.50000,641861,557651
01/26/2004,16:00,1064.25000,1079.25000,1062.25000,1078.50000,588066,591271
01/27/2004,16:00,1078.50000,1079.00000,1066.25000,1066.75000,655547,551988
01/28/2004,16:00,1066.50000,1072.25000,1049.00000,1053.50000,821903,564232
01/29/2004,16:00,1052.75000,1058.00000,1045.00000,1054.50000,886218,579668
01/30/2004,16:00,1055.25000,1056.50000,1050.25000,1054.25000,585391,543382
02/02/2004,16:00,1054.50000,1066.50000,1050.75000,1058.75000,675576,559298
02/03/2004,16:00,1058.75000,1060.75000,1053.75000,1057.25000,594482,539366
02/04/2004,16:00,1057.25000,1057.75000,1046.25000,1048.25000,771930,532634
02/05/2004,16:00,1048.00000,1054.50000,1046.75000,1050.75000,579920,529989
02/06/2004,16:00,1051.00000,1066.25000,1049.25000,1063.25000,646603,570049
02/09/2004,16:00,1063.50000,1068.00000,1062.00000,1064.25000,472032,535024
02/10/2004,16:00,1064.50000,1071.00000,1061.75000,1067.50000,506464,533341
02/11/2004,16:00,1067.50000,1083.00000,1065.50000,1079.50000,735265,573057
02/12/2004,16:00,1079.50000,1081.75000,1074.75000,1075.25000,447641,556931
02/13/2004,16:00,1075.75000,1081.00000,1066.25000,1070.00000,534255,543959
02/17/2004,16:00,1069.75000,1083.00000,1069.50000,1080.75000,472647,573511
02/18/2004,16:00,1080.75000,1083.00000,1072.50000,1075.50000,534794,560116
02/19/2004,16:00,1075.50000,1082.75000,1069.50000,1071.50000,645777,565766
02/20/2004,16:00,1071.00000,1075.25000,1062.00000,1068.00000,686761,575658
02/23/2004,16:00,1068.25000,1071.75000,1060.25000,1064.25000,611027,567956
02/24/2004,16:00,1064.75000,1068.50000,1057.50000,1062.75000,742235,577545
02/25/2004,16:00,1063.25000,1069.25000,1061.25000,1067.25000,556898,585217
02/26/2004,16:00,1067.50000,1071.50000,1062.00000,1067.50000,528708,586282
02/27/2004,16:00,1068.00000,1076.25000,1064.75000,1068.75000,593104,583924
03/01/2004,16:00,1068.50000,1081.75000,1068.50000,1079.75000,533975,606353
03/02/2004,16:00,1079.75000,1081.00000,1070.75000,1073.25000,588494,579493
03/03/2004,16:00,1073.50000,1077.00000,1067.50000,1075.00000,640846,590670
03/04/2004,16:00,1074.75000,1079.50000,1073.50000,1078.50000,410537,590014
03/05/2004,16:00,1077.50000,1088.00000,1070.75000,1082.00000,1078585,618621
03/08/2004,16:00,1082.25000,1084.25000,1067.50000,1068.25000,644665,621490
03/09/2004,16:00,1068.25000,1071.25000,1060.50000,1063.75000,777885,609470
03/10/2004,16:00,1063.75000,1066.00000,1043.50000,1043.50000,990475,595948
03/11/2004,16:00,1044.75000,1050.50000,1028.50000,1029.50000,1036107,263051
03/12/2004,16:00,1029.75000,1045.00000,1026.25000,1043.25000,741242,320891
03/15/2004,16:00,1042.50000,1044.00000,1026.75000,1030.25000,1037954,354220
03/16/2004,16:00,1030.25000,1038.25000,1026.25000,1035.50000,874709,389027
03/17/2004,16:00,1035.50000,1050.25000,1034.75000,1047.75000,695265,404607
03/18/2004,16:00,1047.75000,1051.75000,1036.75000,1048.00000,837275,438778
03/19/2004,16:00,1048.25000,1052.50000,1031.75000,1032.50000,649991,437614
03/22/2004,16:00,1032.75000,1032.75000,1012.75000,1018.50000,972312,460542
03/23/2004,16:00,1018.50000,1025.50000,1015.00000,1016.50000,753983,476135
